Time,E1_C,E2_C,E3_C,E4_C,E5_C,E6_C,E7_C,off_R1_C,off_R2_C,off_R3_C,off_R4_C,on_R1_C,on_R2_C,on_R3_C,on_R4_C,on_R5_C,on_R6_C
2840,16,0,12,0,0,0,0,0,0,0,0,0,1,0,1,0,2
2850,9,17,7,8,2,0,0,0,0,0,0,0,0,0,1,0,0
2860,5,15,3,15,4,3,0,0,0,0,0,0,0,0,0,0,0
2870,8,9,1,18,13,2,0,0,0,0,0,0,0,0,0,0,0
2880,6,4,0,10,17,9,0,0,0,0,0,0,0,0,0,0,0
2890,9,9,0,1,12,11,0,0,0,0,0,0,0,0,0,0,0
2900,0,6,0,0,3,14,0,0,0,0,0,8,0,0,0,0,0
2910,0,2,18,0,0,4,0,0,0,0,0,6,1,0,2,1,0
2920,0,0,14,0,0,1,0,0,0,0,0,3,0,0,3,3,1
2930,5,0,12,0,0,0,0,0,0,0,0,1,1,0,1,1,3
2940,19,0,12,0,0,0,0,0,0,0,0,0,3,0,2,0,1
2950,17,11,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0
2960,6,22,3,14,1,1,0,0,0,0,0,0,0,0,0,0,0
2970,5,12,3,16,13,4,0,0,0,0,0,0,0,0,0,0,0
2980,12,4,0,16,15,6,0,0,0,0,0,0,0,0,0,0,0
2990,12,5,0,0,13,10,0,0,0,0,0,0,0,0,0,0,0
3000,0,10,0,0,1,10,0,0,0,0,0,6,0,0,0,0,0
3010,0,2,9,0,0,9,0,0,0,0,0,5,1,1,2,1,0
3020,0,0,14,0,0,0,0,0,0,0,0,3,0,0,5,4,0
3030,0,0,18,0,0,0,0,0,0,0,0,1,2,0,3,3,3
3040,20,0,16,0,0,0,0,0,0,0,0,0,3,0,1,0,0
3050,22,11,7,4,4,0,0,0,0,0,0,0,0,0,0,0,1
3060,13,18,5,18,6,2,0,0,0,0,0,0,0,0,0,0,0
3070,5,20,9,18,15,6,0,0,0,0,0,0,0,0,0,0,0
3080,5,13,0,17,14,8,0,0,0,0,0,0,0,0,0,0,0
3090,7,7,0,7,14,13,0,0,0,0,0,0,0,0,0,0,0
3100,0,6,0,0,8,10,0,0,0,0,0,6,0,0,0,0,0
3110,0,2,5,0,1,14,0,0,0,0,0,3,2,2,0,0,0
3120,0,0,13,0,0,3,0,0,0,0,0,1,1,0,8,2,0
3130,0,0,25,0,0,0,0,0,0,0,0,3,1,0,5,0,4
3140,19,0,17,0,0,0,0,0,0,0,0,0,3,0,2,0,2
3150,18,7,2,4,4,0,0,0,0,0,0,0,0,0,1,0,2
3160,11,17,2,16,9,2,0,0,0,0,0,0,0,0,0,0,0
3170,5,19,11,20,15,9,0,0,0,0,0,0,0,0,0,0,0
3180,9,7,4,19,18,11,0,0,0,0,0,0,0,0,0,0,0
3190,7,6,0,11,15,14,0,0,0,0,0,0,0,0,0,0,0
3200,1,6,0,0,12,14,0,0,0,0,0,4,0,0,0,0,0
3210,0,2,0,0,0,11,0,0,0,0,0,10,2,0,0,0,0
3220,0,0,16,0,0,5,0,0,0,0,0,0,1,0,6,3,0
3230,0,0,21,0,0,0,0,0,0,0,0,5,0,0,1,0,3
3240,15,0,18,0,0,0,0,0,0,0,0,0,3,0,0,1,3
3250,19,7,5,4,3,0,0,0,0,0,0,0,0,0,2,1,1
